onset	duration	trial_type	value
0.50794	0.00000	et-record-on	n/a
0.52934	3.03070	blank	n/a
3.56004	0.50990	cog	(-0.7, 0.0)
4.06994	0.50000	cog	(0.5, 0.6)
4.56994	0.50000	cog	(0.7, 0.0)
5.06994	0.50010	cog	(-0.5, 0.6)
5.57004	0.49990	cog	(0.5, -0.6)
6.06994	0.54160	cog	(-0.5, -0.6)
6.61154	0.50830	cog	(-0.5, 0.6)
7.11984	0.50010	cog	(0.5, -0.6)
7.61994	0.50010	cog	(-0.5, -0.6)
8.12004	0.50000	cog	(-0.7, 0.0)
8.62004	0.50000	cog	(0.7, 0.0)
9.12004	0.54510	cog	(0.5, 0.6)
9.66514	0.50490	cog	(-0.5, 0.6)
10.17004	0.50120	cog	(-0.7, 0.0)
10.67124	0.51560	cog	(-0.5, -0.6)
11.18684	0.50000	cog	(0.5, 0.6)
11.68684	0.50000	cog	(0.5, -0.6)
12.18684	0.55400	cog	(0.7, 0.0)
12.74084	5.01750	mot	L
17.75834	5.04090	mot	R
22.79924	5.01290	mot	L
27.81214	5.03800	mot	R
32.85014	3.04050	vis	n/a
35.89064	0.51320	cog	(-0.5, 0.6)
36.40384	0.50010	cog	(0.7, 0.0)
36.90394	0.50010	cog	(-0.7, 0.0)
37.40404	0.50000	cog	(0.5, -0.6)
37.90404	0.49990	cog	(0.5, 0.6)
38.40394	0.54700	cog	(-0.5, -0.6)
38.95094	0.50310	cog	(0.5, -0.6)
39.45404	0.50010	cog	(-0.5, -0.6)
39.95414	0.49990	cog	(-0.5, 0.6)
40.45404	0.50000	cog	(0.5, 0.6)
40.95404	0.50010	cog	(-0.7, 0.0)
41.45414	0.54750	cog	(0.7, 0.0)
42.00164	0.50240	cog	(-0.5, -0.6)
42.50404	0.50130	cog	(0.5, -0.6)
43.00534	0.51550	cog	(0.7, 0.0)
43.52084	0.49990	cog	(-0.5, 0.6)
44.02074	0.50040	cog	(-0.7, 0.0)
44.52114	0.57400	cog	(0.5, 0.6)
45.09514	3.07180	vis	n/a
48.16694	3.06550	blank	n/a
51.23244	3.06630	blank	n/a
54.29874	5.00560	mot	R
59.30434	5.05690	mot	L
64.36124	3.07310	vis	n/a
67.43434	5.00360	mot	R
72.43794	5.06480	mot	L
77.50274	3.07290	blank	n/a
80.57564	3.07680	blank	n/a
83.65244	3.06960	blank	n/a
86.72204	3.06860	blank	n/a
89.79064	3.08180	blank	n/a
92.87244	3.07020	vis	n/a
95.94264	3.08860	blank	n/a
99.03124	5.00740	mot	L
104.03864	5.07120	mot	R
109.10984	3.08450	vis	n/a
112.19434	0.51120	cog	(-0.5, 0.6)
112.70554	0.49990	cog	(-0.7, 0.0)
113.20544	0.50020	cog	(0.5, -0.6)
113.70564	0.50020	cog	(0.7, 0.0)
114.20584	0.49980	cog	(0.5, 0.6)
114.70564	0.57680	cog	(-0.5, -0.6)
115.28244	5.01300	mot	R
120.29544	5.08900	mot	L
125.38444	5.00490	mot	R
130.38934	5.08470	mot	L
135.47404	3.10230	vis	n/a
138.57634	3.08250	blank	n/a
141.65884	5.01410	mot	L
146.67294	5.09000	mot	R
151.76294	3.10440	vis	n/a
154.86734	3.15020	blank	n/a
158.51994	0.00000	et-record-off	n/a
